CallSign,StationLat,StationLon,Service,RFChannel,LicenseExpirationDate,StatusDate,Status,CommunityCity,CommunityState,FacilityType,Frequency,ActiveInd,PartyName,PartyAddress1,PartyAddress2,PartyCity,PartyZip1,PartyState,PartyPhone,stationFormat,station_latitude,station_longitude
KSGF,37.264167,-93.317778,AM Station,,02/01/2029,,LICENSED,SPRINGFIELD,MO,,1260,Y,"SM-KSGF-AM, LLC",2700 CORPORATE DRIVE,SUITE 115,BIRMINGHAM,35242,AL,2053222987,News/Talk,37.153941,-93.615756
KVOP,34.092222,-101.640556,AM Station,,08/01/2029,07/25/2018,LICENSED AND SILENT,PLAINVIEW,TX,,1090,Y,"HIGH PLAINS RADIO NETWORK, LLC",,,Plainview,79073,TX,8067778542,News/Talk,34.092296,-101.641005
KXTO,39.5775,-119.847778,AM Station,,10/01/2029,02/03/2003,LICENSED,RENO,NV,,1550,Y,"CHRISTIAN MINISTRIES OF THE VALLEY, INC.",,,WESLACO,78599,TX,9569687777,Spanish Christian,39.57741,-119.848805
KLOE,39.334444,-101.757778,AM Station,,06/01/2021,,LICENSED,GOODLAND,KS,,730,Y,"MELIA COMMUNICATIONS, INC.",131 NORTH SANTA FE AVENUE,SUITE 3,SALINA,67401,KS,(970)309-0643,News/Talk,39.334444,-101.758229
WHCU,42.465,-76.373056,AM Station,,06/01/2030,,LICENSED,ITHACA,NY,,870,Y,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",73 KERCHEVAL AVENUE,,GROSSE POINTE FARMS,48236,MI,3138867070,News/Talk,42.465073,-76.372714
WXGM,37.41,-76.547778,AM Station,,10/01/2027,,LICENSED,GLOUCESTER,VA,,1420,Y,"WXGM, INC.","P.O. BOX 634, MAIN ST.",,GLOUCESTER,23061,VA,,Adult Contemporary,37.410141,-76.547452
WYGR,42.927222,-85.747222,AM Station,,10/01/2028,,LICENSED,WYOMING,MI,,1530,Y,"WYGR, LLC",P.O. BOX 9591,,WYOMING,49509,MI,(616)452-8589,Classic Country,42.927248,-85.747255
WYZD,36.3925,-80.733333,AM Station,,12/01/2027,,LICENSED,DOBSON,NC,,1560,Y,"GOSPEL BROADCASTING, INC",P.O. BOX 797,,DOBSON,27017,NC,3363561560,Gospel Music,36.392633,-80.733123
WJLE,35.925278,-85.820556,AM Station,,08/01/2028,,LICENSED,SMITHVILLE,TN,,1480,Y,"CENTER HILL BROADCASTING CORP., INC.",2606 MCMINNVILLE HIGHWAY,,SMITHVILLE,37166,TN,,Country,35.925342,-85.820541
KWYN,35.256111,-90.796667,AM Station,,06/01/2028,,LICENSED,WYNNE,AR,,1400,Y,"EAST ARKANSAS BROADCASTERS, INC.","P.O. BOX 789,",HIGHWAY 64 WEST,WYNNE,72396,AR,,Country,35.028703,-90.542048
KKLL,37.106389,-94.280556,AM Station,,02/01/2029,,LICENSED,WEBB CITY,MO,,1100,Y,"NEW LIFE EVANGELISTIC CENTER, INC",2428 WOODSON ROAD,,OVERLAND,63114,MO,(314)436-2424,Religious,37.106449,-94.280776
WDEP,17.984167,-66.636667,AM Station,,02/01/2028,10/31/2000,LICENSED,PONCE,PR,,1490,Y,"MEDIA POWER GROUP, INC.",P.O. BOX 270179,,SAN JUAN,927,PR,(787)641-2164,Spanish News,17.98219,-66.636284
WIAM,35.8575,-77.042778,AM Station,,12/01/2027,,LICENSED,WILLIAMSTON,NC,,900,Y,"LIFELINE MINISTRIES, INC",P.O. BOX 590,,WILLIAMSTON,27892,NC,,Classic Country,35.85766,-77.042456
WRLV,,,AM Station,,08/01/2020,06/20/2012,LICENSED,SALYERSVILLE,KY,,1140,N,"MORGAN COUNTY INDUSTRIES, INC.",129 COLLEGE STREET,,WEST LIBERTY,41472,KY,0,Country,37.757592,-83.063781
WLUV,42.33,-89.082778,AM Station,,12/01/2028,,LICENSED,LOVES PARK,IL,EDT,1520,Y,"VCY America, Inc.",3434 West Kilbourn Ave,,Milwaukee,53208,WI,4149353000,Religious,42.330019,-89.082885
WKTF,32.128889,-83.796111,AM Station,,04/01/2028,11/01/2019,LICENSED,VIENNA,GA,,1550,Y,HAMMETT FINANCIAL MANAGEMENT CORPORATION,7280 SW SR 200,,OCALA,34476,FL,(352)812-1532,Classic Country,32.129889,-83.795453
WYAM,34.566667,-86.912778,AM Station,,04/01/2028,,LICENSED,HARTSELLE,AL,,890,Y,"Decatur Communications Properties, LLC",1301 Central Parkway,,Decatur,35601,AL,2563554567,Regional Mexican,34.56676,-86.912784
WJOC,35.051944,-85.273333,AM Station,,08/01/2020,,LICENSED,CHATTANOOGA,TN,,1490,Y,SARAH MARGARETT FRYAR,722 SOUTH GERMANTOWN RD,,CHATTANOOGA,37412,TN,,Talk,35.052018,-85.27329
WPTW,40.140278,-84.268611,AM Station,,10/01/2028,,LICENSED,PIQUA,OH,,1570,Y,"MUZZY BROADCASTING, LLC",500 DIVISION ST.,,STEVENS POINT,54481,WI,7153419800,Classic Hits,40.140329,-84.268557
WNWC,43.16,-89.215278,AM Station,,12/01/2028,,LICENSED,SUN PRAIRIE,WI,,1190,Y,UNIVERSITY OF NORTHWESTERN-ST. PAUL,3003 SNELLING AVE N,,SAINT PAUL,55113,MN,(651)631-5000,Christian Contemporary,43.035556,-89.507056
WVAL,45.605,-94.139167,AM Station,,04/01/2029,,LICENSED,SAUK RAPIDS,MN,,800,Y,"TRI-COUNTY  BROADCASTING, INC",1010 2ND ST SOUTH,PO BOX 366,SAUK RAPIDS,56379,MN,,Classic Country,45.604965,-94.139434
KPNS,34.511944,-97.968056,AM Station,,06/01/2029,,LICENSED,DUNCAN,OK,,1350,Y,"MOLLMAN MEDIA, INC.",627 WEST CHICKASHA AVE.,,CHICKASHA,73018,OK,4052241560,News/Talk,34.512024,-97.968369
KZQQ,32.455833,-99.799722,AM Station,,08/01/2029,03/24/2022,LICENSED,ABILENE,TX,,1560,Y,WESTEX TELCO LLC,500 Chestnut St #1901,,ABILENE,79602,TX,3256731930,News/Talk,32.455958,-99.80009
WTCJ,37.925833,-86.721944,AM Station,,08/01/2028,08/30/2000,LICENSED,TELL CITY,IN,,1230,Y,"HANCOCK COMMUNICATIONS, INC.",POST OFFICE BOX 150846,,NASHVILLE,37215,TN,,Adult Hits,37.925889,-86.721931
WFSR,36.867222,-83.326667,AM Station,,08/01/2028,,LICENSED,HARLAN,KY,,970,Y,EASTERN BROADCASTING COMPAY,PO BOX 818,125 S. MAIN ST,HARLAN,40831,KY,,Gospel Music,36.867311,-83.326571
WPRR,42.935833,-85.457222,AM Station,,10/01/2028,02/19/2008,LICENSED,ADA,MI,,1680,Y,"GOODRICH RADIO, LLC",4417 BROADMOOR S.E.,,KENTWOOD,49512,MI,,Public Radio,42.591419,-85.935308
WESR,37.717222,-75.683056,AM Station,,10/01/2027,,LICENSED,ONLEY-ONANCOCK,VA,,1330,Y,"EASTERN SHORE RADIO, INC.",POST OFFICE BOX 460,,ONLEY,23418,VA,,Adult Contemporary,37.717408,-75.682901
WYSE,35.532778,-82.866111,AM Station,,12/01/2027,03/11/2003,LICENSED,CANTON,NC,,970,Y,"SAGA COMMUNICATIONS OF NORTH CAROLINA, LLC",73 KERCHEVAL AVENUE,,GROSSE POINTE FARMS,48236,MI,3138867070,Sports,35.532883,-82.865968
WWAC,39.229167,-74.681667,AM Station,,06/01/2022,,LICENSED,OCEAN CITY/SOMERS PO,NJ,,1020,Y,ENRICO S. BRANCADORA,3328 SIMPSON AVENUE,,OCEAN CITY,8226,NJ,,Spanish Hits,39.229282,-74.681272
WMAY,39.861667,-89.542222,AM Station,,12/01/2028,,LICENSED,SPRINGFIELD,IL,,970,Y,"LONG NINE, INC.",P.O. BOX 460,,SPRINGFIELD,62705,IL,,News/Talk,39.64394,-89.514261
KRTA,42.3875,-122.769722,AM Station,,02/01/2030,,LICENSED,MEDFORD,OR,,610,Y,"OPUS BROADCASTING SYSTEMS, INC.",511 ROSSANLEY,,MEDFORD,97501,OR,,Regional Mexican,42.38735,-122.77087
WJCV,34.766111,-77.391111,AM Station,,12/01/2027,,LICENSED,JACKSONVILLE,NC,,1290,Y,DOWN EAST BROADCASTING CO INC.,123-A ARNOLD ROAD,,JACKSONVILLE,28546,NC,9103476141,Gospel Music,34.766274,-77.390795
WVOW,37.856111,-81.971944,AM Station,,10/01/2027,,LICENSED,LOGAN,WV,,1290,Y,LOGAN BROADCASTING CORPORATION,P.O. BOX 1776,,LOGAN,25601,WV,,Variety,37.85677,-81.971513
WVOE,34.351389,-78.843889,AM Station,,12/01/2027,,LICENSED,CHADBOURN,NC,,1590,Y,"EBONY ENTERPRISES, INC.",1528 OLD 74 HIGHWAY WEST,,CHADBOURN,28431,NC,,Gospel Music,34.351557,-78.843634
WCBR,37.735833,-84.268056,AM Station,,08/01/2028,,LICENSED,RICHMOND,KY,,1110,Y,"WCBR, INC,",P.O. BOX 570,1564 MOBERLY ROAD,RICHMOND,40475,KY,(859)623-1235,Religious,37.750636,-84.20604
WGFC,36.925833,-80.276111,AM Station,,10/01/2027,,LICENSED,FLOYD,VA,,1030,Y,"NEW LIFE CHRISTIAN COMMUNICATIONS, INC.",234 VIRGINIA AVE.,P.O. BOX 1268,HILLSVILLE,24343,VA,2767300704,Gospel Music,36.925967,-80.275881
KDKT,47.2875,-101.762778,AM Station,,04/01/2029,,LICENSED,BEULAH,ND,,1410,Y,"DIGITAL SYNDICATE NETWORK, LLC","2155 W. HIGHWAY 89A, SUITE 211",,SEDONA,86336,AZ,7018732215,Sports,47.287506,-101.763224
WADV,40.372778,-76.364722,AM Station,,08/01/2022,11/19/2020,LICENSED,LEBANON,PA,,940,Y,"WADV RADIO, INC",152 S. SPRUCE STREET,,BIRDSBORO,19508,PA,,Gospel Music,40.37287,-76.364402
WXKS,42.288889,-71.189167,AM Station,,04/01/2030,,LICENSED,NEWTON,MA,,1200,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Top-40,42.347333,-71.082556
KJOZ,30.293889,-95.431944,AM Station,,08/01/2029,05/15/2013,LICENSED,CONROE,TX,,880,Y,Hector Guevara Ministry Corp.,8230 Antoine Dr.,,Houston,77088,TX,7137572355,Spanish Hits,30.2941,-95.432161
KQSC,38.818889,-104.775556,AM Station,,04/01/2029,10/23/2015,LICENSED,COLORADO SPRINGS,CO,,1530,Y,MOUNTAIN RADIO GROUP INC.,Chapel Hills Mall,1710 Briargate Boulevard # 833,COLORADO SPRINGS,80920,CO,7193599336,Country,38.818883,-104.776085
WGVY,37.122222,-79.288889,AM Station,,10/01/2027,,LICENSED,ALTAVISTA,VA,,1000,Y,"D.J. BROADCASTING, INC.",200 FRAZIER RD,,ALTAVISTA,24517,VA,(434)369-5588,Oldies,37.122365,-79.288635
KVNS,25.949167,-97.554167,AM Station,,08/01/2029,02/26/2001,LICENSED,BROWNSVILLE,TX,,1700,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,,TULSA,74136,OK,9186644581,Sports,25.949525,-97.554431
WMC,35.168611,-89.885,AM Station,,08/01/2028,11/20/2001,LICENSED,MEMPHIS,TN,,790,Y,"Audacy License, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,6106605610,Sports,35.1687,-89.885087
WMCA,40.752778,-74.104167,AM Station,,06/01/2030,11/16/2012,LICENSED,NEW YORK,NY,,570,Y,"SALEM MEDIA OF NEW YORK, LLC","4880 SANTA ROSA ROAD, SUITE 300",,CAMARILLO,93012,CA,8059870400,Religious,40.752879,-74.103754
WMCH,36.520833,-82.748333,AM Station,,08/01/2028,,LICENSED,CHURCH HILL,TN,,1260,Y,"MEDIA LINK, INCORPORATED",133 OTARI DRIVE,,KINGSPORT,37664,TN,4236464911,Religious,36.520931,-82.748216
WMCJ,34.178889,-86.866111,AM Station,,04/01/2028,,LICENSED,CULLMAN,AL,,1460,Y,"JIMMY DALE MEDIA, LLC",1642 KATHERINE STREET,,CULLMAN,35055,AL,2567343271,Sports,34.178988,-86.866113
WMCL,38.104444,-88.563333,AM Station,,12/01/2028,,LICENSED,MCLEANSBORO,IL,,1060,Y,DANA COMMUNICATIONS CORPORATION,303 NORTH MAIN,P.O. BOX 818,BENTON,62812,IL,,Classic Country,38.104492,-88.563386
WMCP,35.618889,-86.981111,AM Station,,08/01/2028,,LICENSED,COLUMBIA,TN,,1280,Y,MAURY COUNTY BOOSTERS CORP.,886 MOUNT OLIVET ROAD,,COLUMBIA,38401,TN,(931)388-3241,Country,35.61896,-86.981115
WMCR,43.084444,-75.693056,AM Station,,06/01/2030,07/20/2017,LICENSED,ONEIDA,NY,,1600,Y,"TOWERCAST MEDIA, LLC",882 OLD SENECA TURNPIKE,,SKANEATELES,13152,NY,3159522647,Adult Contemporary,43.084512,-75.692684
WMCT,36.49,-81.787222,AM Station,,08/01/2028,,LICENSED,MOUNTAIN CITY,TN,,1390,Y,"JOHNSON COUNTY BROADCASTING, INC.",120 EAST MAIN STREET,,MOUNTAIN CITY,37683,TN,,Classic Country,36.490258,-81.787088
WWMC,35.284167,-77.664722,AM Station,,12/01/2027,03/14/2013,LICENSED,KINSTON,NC,,1010,Y,"EASTERN AIRWAVES, LLC","3012 HIGHWOODS BLVD., SUITE 200",,RALEIGH,27604,NC,9197909392,Gospel Music,35.28433,-77.664417
KYCR,44.988889,-93.351667,AM Station,,04/01/2029,,LICENSED,GOLDEN VALLEY,MN,,1440,Y,SALEM COMMUNICATIONS HOLDING CORPORATION,4880 SANTA ROSA ROAD,,CAMARILLO,93012,CA,8059870400,Business News,44.988854,-93.351895
KSZL,34.912222,-117.0275,AM Station,,12/01/2029,06/26/2002,LICENSED,BARSTOW,CA,,1230,Y,DOS COSTAS COMMUNICATIONS CORPORATION,3360 S. OCEAN BLVD,SUITE 5GS,PALM BEACH GARDENS,33480,FL,(760)256-2121,News/Talk,34.912204,-117.028374
WLOV,33.733889,-82.719444,AM Station,,04/01/2028,01/17/2002,LICENSED,WASHINGTON,GA,,1370,Y,"SOUTHERN STONE BROADCASTING, INC.",1010 TOWER PLACE,,BOGART,30622,GA,7065496222,Classic Hits,29.236648,-81.072557
WABG,33.555,-90.205556,AM Station,,06/01/2020,08/27/2007,LICENSED,GREENWOOD,MS,,960,Y,SPB LLC,143 YAZOO AVENUE,P.O. DRAWER 1000,CLARKSDALE,38614,MS,6626242591,Blues,33.55512,-90.20564
WRED,43.680556,-70.379722,AM Station,,04/01/2030,07/21/2021,LICENSED,WESTBROOK,ME,,1440,Y,"ATLANTIC COAST RADIO, LLC",583 WARREN AVENUE,,PORTLAND,4103,ME,,Sports,43.680637,-70.379217
KVOI,32.3475,-111.071944,AM Station,,10/01/2029,,LICENSED,CORTARO,AZ,,1030,Y,"BUSTOS MEDIA HOLDINGS, LLC",5110 SE STARK STREET,,PORTLAND,97215,OR,(503)233-5280,Talk,32.347574,-111.072599
WOWW,35.213889,-89.796111,AM Station,,08/01/2028,,LICENSED,GERMANTOWN,TN,,1430,Y,FLINN BROADCASTING CORPORATION,6080 MT. MORIAH EXT.,,MEMPHIS,38115,TN,(901)375-9324,Top-40,35.213977,-89.796195
KROE,44.798333,-106.930833,AM Station,,10/01/2029,,LICENSED,SHERIDAN,WY,,930,Y,"LOVCOM, INC.",BOX  5086,,SHERIDAN,82801,WY,,News/Talk,44.798305,-106.931456
WWGC,34.264444,-86.278889,AM Station,,04/01/2028,02/18/2005,LICENSED,ALBERTVILLE,AL,,1090,Y,"QUALITY PROPERITES, LLC",P.O. BOX 863,,ALBERTVILLE,35950,AL,2565630253,Regional Mexican,34.264538,-86.278869
WGAS,35.182778,-81.208333,AM Station,,12/01/2027,,LICENSED,SOUTH GASTONIA,NC,,1420,Y,"VICTORY CHRISTIAN CENTER, INC.",P.O. 16408,,CHARLOTTE,28297,NC,,Religious,35.182915,-81.208132
KELK,40.865556,-115.719444,AM Station,,10/01/2029,,LICENSED,ELKO,NV,,1240,Y,ELKO BROADCASTING COMPANY,PO BOX 5566,,ELKO,89802,NV,,Adult Contemporary,40.865477,-115.720344
WNJC,39.789722,-75.103056,AM Station,,06/01/2022,11/02/2000,LICENSED,WASHINGTON TOWNSHIP,NJ,,1360,Y,"FORSYTHE BROADCASTING, LLC","123 EGG HARBOR ROAD, SUITE 302",,SEWELL,8080,NJ,(856)227-1360,Regional Mexican,39.789836,-75.102674
WVNA,34.756667,-87.686111,AM Station,,04/01/2028,11/15/2019,LICENSED,TUSCUMBIA,AL,,1590,Y,"SINGING RIVER MEDIA GROUP, LLC",801 AVALON AVENUE,SUITE 201,MUSCLE SHOALS,35661,AL,2564128210,Rock,34.674258,-87.713364
WILS,42.621944,-84.643889,AM Station,,10/01/2028,,LICENSED,LANSING,MI,,1320,Y,THE MACDONALD BROADCASTING COMPANY,2000 WHITTIER,,SAGINAW,48601,MI,,News/Talk,42.621981,-84.64387
KOSE,35.684167,-89.9825,AM Station,,06/01/2028,12/31/2021,LICENSED AND SILENT,WILSON,AR,,860,Y,NEWPORT BROADCASTING COMPANY,125 S. SECOND ST,,BLYTHEVILLE,72315,AR,8707622093,Gospel Music,35.684245,-89.982588
WLLY,35.723333,-77.921111,AM Station,,12/01/2027,02/12/2017,LICENSED,WILSON,NC,,1350,Y,ESTUARDO VALDEMAR RODRIGUEZ,"1010 VERMONT AVE., NW",SUITE 509,WASHINGTON,20005,DC,2026381959,Regional Mexican,26.762008,-80.078097
KXPS,33.843056,-116.4275,AM Station,,12/01/2029,06/06/2022,LICENSED AND SILENT,THOUSAND PALMS,CA,,1010,Y,"CRC MEDIA WEST, LLC",8145 East Evans,Suite 8,Scottsdale,85260,AZ,6022411510,Sports,33.843073,-116.428345
KGED,36.660278,-119.683611,AM Station,,12/01/2021,04/04/2003,LICENSED,FRESNO,CA,,1680,Y,BENDITA EUCARISTIA RADIO INC.,139 W. OLIVE AVENUE,,FRESNO,93728,CA,(559)213-4072,Spanish Christian,36.660228,-119.684582
KALL,40.891389,-111.941389,AM Station,,10/01/2029,,LICENSED,NORTH SALT LAKE CITY,UT,,700,Y,"Broadway Media LS, LLC",50 West Broadway,Suite 200,Salt Lake City,84101,UT,8013253110,Sports,40.891334,-111.942162
KPHI,21.438333,-157.991389,AM Station,,02/01/2030,11/19/2008,LICENSED,HONOLULU,HI,,1130,Y,"HOCHMAN - MCCANN HAWAII, INC.",1164 Bishop Street  #1703,,HONOLULU,96813,HI,8082464444,Ethnic,21.435165,-157.988642
WDNE,38.923333,-79.8625,AM Station,,10/01/2027,08/09/2002,LICENSED,ELKINS,WV,,1240,Y,WEST VIRGINIA RADIO CORPORATION OF ELKINS,1251 EARL L. CORE ROAD,,MORGANTOWN,26505,WV,,Country,38.910107,-79.78812
WZMG,32.657222,-85.424167,AM Station,,04/01/2028,,LICENSED,PEPPERELL,AL,,910,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,(918)664-4581,Sports,32.657355,-85.424115
KMAQ,42.090556,-90.628611,AM Station,,02/01/2029,,LICENSED,MAQUOKETA,IA,,1320,Y,MAQUOKETA BROADCASTING CO.,129 NORTH MAIN STREET,,MAQUOKETA,52060,IA,,Country,42.090576,-90.628745
KJNP,64.759444,-147.323889,AM Station,,02/01/2030,,LICENSED,NORTH POLE,AK,,1170,Y,"EVANGELISTIC ALASKA MISSIONARY FELLOWSHIP, INC.",PO BOX 56359,,NORTH POLE,99705,AK,,Religious,64.878452,-148.05521
WKYK,35.925556,-82.272222,AM Station,,12/01/2027,,LICENSED,BURNSVILLE,NC,,940,Y,"MARK MEDIA, INC.",P. O. BOX 744,,BURNSVILLE,28714,NC,,Classic Country,35.92567,-82.272071
WABO,31.677778,-88.670278,AM Station,,06/01/2028,,LICENSED,WAYNESBORO,MS,,990,Y,MARTIN BROADCASTING COMPANY,P. O. BOX 507,,WAYNESBORO,39367,MS,,Adult Hits,31.677939,-88.670315
WJWL,38.707222,-75.405278,AM Station,,08/01/2030,,LICENSED,GEORGETOWN,DE,,900,Y,"THE VOICE RADIO, LLC",20254 Dupont Blvd,,Georgetown,19947,DE,3028585118,Regional Mexican,38.707335,-75.404919
WLOE,36.505833,-79.771667,AM Station,,12/01/2027,,LICENSED,EDEN,NC,,1490,Y,Truth Broadcasting Corporation,4405 Providence Lane,Suite D,Winston-Salem,27106,NC,3367590363,News/Talk,36.505971,-79.771426
WUST,38.869167,-76.896389,AM Station,,10/01/2027,,LICENSED,WASHINGTON,DC,,1120,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,News,38.86928,-76.896084
WGRI,39.080556,-84.521667,AM Station,,10/01/2028,,LICENSED,CINCINNATI,OH,,1050,Y,"CHRISTIAN BROADCASTING SYSTEM, LTD.",P.O. BOX 808,,FENTON,48430,MI,(810)694-4146,Gospel Music,39.080616,-84.52161
KFXR,32.786111,-96.95,AM Station,,08/01/2029,,LICENSED,DALLAS,TX,,1190,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Country,36.351945,-109.832337
WFCV,41.083611,-85.075556,AM Station,,08/01/2028,,LICENSED,FORT WAYNE,IN,,1090,Y,BOTT BROADCASTING COMPANY,"10550 BARKLEY, STE 108",,OVERLAND PARK,66212,KS,,Religious,40.869491,-85.172192
WQRM,46.655278,-92.211111,AM Station,,04/01/2029,10/22/2021,LICENSED,DULUTH,MN,EDT,850,Y,"VCY AMERICA, INC.",3434 W. KILBOURN AVE.,,MILWAUKEE,53208,WI,4149353000,Religious,46.655219,-92.211304
WLUE,,,AM Station,,08/01/2028,,LICENSED,EMINENCE,KY,,1600,Y,"NEW ALBANY BROADCASTING CO., INC.",220 POTTERS LANE,,CLARKSVILLE,47129,IN,5025842400,Rhythmic Oldies,38.352569,-85.185788
KTCR,46.640278,-120.596667,AM Station,,02/01/2030,10/25/2000,LICENSED,SELAH,WA,,980,Y,"SMG-YAKIMA, LLC",2448 E. 81ST STREET,SUITE 5500,TULSA,74137,OK,9184922660,Oldies,46.640126,-120.597846
WFTG,37.141667,-84.079167,AM Station,,08/01/2028,,LICENSED,LONDON,KY,,1400,Y,"F.T.G. BROADCASTING, INC.",P. O. BOX 1450,,CORBIN,40702,KY,,Classic Country,37.141755,-84.079098
WCCW,44.677222,-85.665556,AM Station,,10/01/2028,,LICENSED,TRAVERSE CITY,MI,,1310,Y,"WCCW RADIO, INC.",314 EAST FRONT STREET,,TRAVERSE CITY,49684,MI,,Oldies,44.767223,-85.690635
WVOG,29.956944,-90.159167,AM Station,,06/01/2028,,LICENSED,NEW ORLEANS,LA,,600,Y,"F.W. ROBERT BROADCASTING CO., INC.",2730 LOUMOR AVE,,METAIRIE,70001,LA,,Religious,29.957148,-90.159241
KJXX,37.381944,-89.653333,AM Station,,02/01/2029,,LICENSED,JACKSON,MO,,1170,Y,"WITHERS BROADCASTING COMPANY OF MISSOURI, LLC",POST OFFICE BOX 1508,,MOUNT VERNON,62864,IL,(618)242-3500,Urban Contemporary,37.381995,-89.653428
WPNN,30.4525,-87.240556,AM Station,,02/01/2028,,LICENSED,PENSACOLA,FL,,790,Y,"MIRACLE RADIO, INC.",3801 N PACE BLVD,,PENSACOLA,32505,FL,8504331141,News/Talk,30.452697,-87.240528
KHRT,48.196667,-101.233333,AM Station,,04/01/2029,,LICENSED,MINOT,ND,,1320,Y,"FAITH BROADCASTING, INC.",P.O. BOX 1210,,MINOT,58702,ND,(701)852-3789,Christian Contemporary,48.163342,-101.299051
WSAU,44.857222,-89.586944,AM Station,,12/01/2028,,LICENSED,WAUSAU,WI,,550,Y,"WRIG, INC.",904 GRAND AVENUE,,WAUSAU,54403,WI,,News/Talk,44.33858,-89.648732
WNNW,42.673889,-71.190556,AM Station,,04/01/2022,,LICENSED,LAWRENCE,MA,,800,Y,COSTA-EAGLE RADIO VENTURES LIMITED PARTNERSHIP,462 MERRIMACK ST,,METHUEN,1844,MA,(978)686-9966,Tropical,42.673981,-71.190059
WMYM,25.626389,-80.521111,AM Station,,02/01/2028,,LICENSED,KENDALL,FL,,990,Y,HISPANOS COMMUNICATIONS LLC,4880 Santa Rosa Rd,,Camarillo,93012,CA,8059870400,Spanish Sports,25.626772,-80.520891
KQYX,37.069444,-94.546944,AM Station,,06/01/2029,,LICENSED,GALENA,KS,,1450,Y,AMERICAN MEDIA INVESTMENTS INC.,1162 E HIGHWAY 126,,PITTSBURG,66762,KS,6202317200,Adult Contemporary,37.069505,-94.547169
KNIM,40.391944,-94.967778,AM Station,,02/01/2029,,LICENSED,MARYVILLE,MO,,1580,Y,"REGIONAL MEDIA, INC.",11630 140th Street,,Davenport,52804,IA,3097984148,Country,40.391935,-94.968029
KATH,33.215278,-96.899167,AM Station,,08/01/2029,,LICENSED,FRISCO,TX,,910,Y,"CHATHAM HILL FOUNDATION, INC.",3222 SHORECREST DRIVE,SUITE 235,DALLAS,75235,TX,2143512121,Religious,33.215396,-96.899448
KNGN,40.222222,-100.693611,AM Station,,06/01/2029,,LICENSED,MCCOOK,NE,,1360,Y,KANSAS NEBRASKA GOOD NEWS BROADCASTING CORPORATION,,,MCCOOK,69001,NE,3083452006,Religious,40.222224,-100.694043
WAQE,45.537778,-91.763889,AM Station,,12/01/2028,,LICENSED,RICE LAKE,WI,,1090,Y,"TKC, INC.",1859 21ST AVENUE,,RICE LAKE,54868,WI,,Adult Contemporary,45.537734,-91.764059
KCIS,47.768333,-122.351944,AM Station,,02/01/2030,10/17/2000,LICENSED,EDMONDS,WA,,630,Y,CRISTA Ministries,"19303 Fremont Ave, North",,Seattle,98133,WA,2065467350,Religious,47.768153,-122.353185
WKRM,35.610556,-87.056111,AM Station,,08/01/2028,,LICENSED,COLUMBIA,TN,,1340,Y,"MIDDLE TENNESSEE BROADCASTING CO., INC.",PO BOX 1377,,COLUMBIA,38402,TN,,Adult Contemporary,35.610628,-87.056117
KWMF,29,-98.530556,AM Station,,08/01/2029,,LICENSED,PLEASANTON,TX,,1380,Y,"VIRGEN DE GUADALUPE GLOBAL COMMUNICATIONS, LLC",POST OFFICE BOX 1728,,HELOTES,78023,TX,8303883009,Spanish Christian,29.000248,-98.530851
WFNO,29.8875,-90.084167,AM Station,,06/01/2028,,LICENSED,GRETNA,LA,,1540,Y,"CROCODILE BROADCASTING CORP., INC.",3540 S I-10 SERVICE ROAD W,SUITE 342,METAIRIE,70001,LA,(504)799-4242,Spanish Hits,29.887706,-90.084239
KLUP,29.519167,-98.403611,AM Station,,08/01/2029,,LICENSED,TERRELL HILLS,TX,,930,Y,SALEM COMMUNICATIONS HOLDING CORPORATION,4880 SANTA ROSA ROAD,,CAMARILLO,93012,CA,(805)987-0400,News/Talk,29.519397,-98.403904
WIXE,34.961389,-80.544444,AM Station,,12/01/2027,,LICENSED,MONROE,NC,,1190,Y,"MONROE BROADCASTING COMPANY, INC.",P. O. BOX 1007,1700 BUENA VISTA RD,MONROE,28112,NC,,Classic Country,34.961539,-80.544233
KKBJ,47.442222,-94.865833,AM Station,,04/01/2029,,LICENSED,BEMIDJI,MN,,1360,Y,R.P. BROADCASTING,2115 WASHINGTON AVENUE,,BEMIDJI,56601,MN,,Hot AC,47.555786,-94.801379
KRJO,32.456667,-92.018333,AM Station,,06/01/2028,08/20/2014,LICENSED,MONROE,LA,,1680,Y,"HOLLADAY BROADCASTING OF LOUISIANA, LLC",1109 HUDSON LANE,,MONROE,71211,LA,3183221914,Classic Country,32.456812,-92.018466
KTNF,44.868889,-93.419722,AM Station,,04/01/2029,,LICENSED,ST. LOUIS PARK,MN,,950,Y,JR BROADCASTING LLC,11320 VALLEY VIEW ROAD,,EDEN PRAIRIE,55344,MN,(952)946-8885,Talk,44.868853,-93.419951
